"status","meta_product_id","name","slug","rating","review_count","genre","source_image_url","blocking_issues","warnings"
"ready","6366866460079568","Blobtown","blobtown","4.6","16210","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499618103_1585146616058590_2305933813161404851_n.webp?stp=dst-webp_s720x720&_nc_cat=106&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=-cR-hTUQbIsQ7kNvwH53FEC&_nc_oc=AdrgmHaDHUBrg-QkwJR7SYQtjm9PmXHtC_13ivS_bSzDJDMvb5gxloBph2S9UYkbEhY&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQIXIsaO0NZDWAXzo3MuKGHkW8vm8eYGen-YT016nhtdOQ&oe=6A992255","",""
"ready","7766928490091147","Dungeon Free","dungeon-free","4.7","15023","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/604282317_2007162163501530_2416455229533128295_n.webp?stp=dst-webp_s720x720&_nc_cat=106&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=jGhF1gAZ4_kQ7kNvwGlwfEZ&_nc_oc=AdqTL-x3JXcekjMQg4-CCIBBO0ZPS1bvtm1Z3eWgTtD9MyOiTDe1NfS5egvhyAskyV8&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJWt8shHZlMqg2qMXPxSp-gqj60oYZMxckT9OyzoPMtDA&oe=6A99267B","",""
"ready","6904307006303740","Scary Free","scary-free","4.5","13131","어드벤처","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499619485_26766131503046269_3465022557657739765_n.webp?stp=dst-webp_s720x720&_nc_cat=108&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=3fqTCqr01PEQ7kNvwFJvtze&_nc_oc=AdoCUQ-d4UQ9S61aG1yKLBHmXT7cCNMp1lpJ3_9W8HV3HdLobg7EmH-Uvgw2WOpqXHo&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQIejdOOVuiys3IPQL9iOBHO-RL6ruIVSzGvBYjS24ZBog&oe=6A98FB82","",""
"ready","24696055850016802","GRO","gro","4.8","12266","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/585799753_3507196312788168_2204253751173894520_n.webp?stp=dst-webp_s720x720&_nc_cat=101&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=1hcddiow5vgQ7kNvwHlNeuF&_nc_oc=AdqtK6LTdhiYSd_TcPDcDHvxFxssX-uZfeTinYL1b0hjYE79nlDNX2dGGAuZo6-P7o0&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQK3hTlCaGm4W9NRKoCWazWcwfMbH13yrZWScRtFc4hVxQ&oe=6A990769","",""
"ready","26809008098700102","BEAST ARMS","beast-arms","4.8","12092","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499620341_2288177598625676_6370839214555555966_n.webp?stp=dst-webp_s720x720&_nc_cat=100&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=aEwGeh0B2gcQ7kNvwF3TtD_&_nc_oc=Adon-JmAroXLd5bWwHICC0LoopAyt3PNgxjgB9QrtG5711diCBGcwDIttJyLNWnqNys&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJPockXzO2KoD5c5r65e9lxbBYtqRXLHpyim3nC6uQgTg&oe=6A98F2CA","",""
"ready","9862837387168749","Lethal Ape Deluxe","lethal-ape-deluxe","4.9","11991","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499620432_2113438975885040_7857313366678386535_n.webp?stp=dst-webp_s720x720&_nc_cat=105&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=fer_ECd-Iy0Q7kNvwG_9wGF&_nc_oc=AdopF_H9Ljq8tOlGarjKMiAZ5n8_jC8ZLBMWz_s-2wdtfMKIV8LmUUx2SCHSNkLnuoM&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJ4CU5F6cSdhfsr-yDhF9jvFOs_QQV_IvsyjNK5bSFfsQ&oe=6A98FA24","",""
"ready","5754014731339882","MotoX","motox","4.7","11734","스포츠","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/491823790_1606227527831705_8853122905756379554_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=GmiWvi1HbigQ7kNvwEsOzI0&_nc_oc=Adq6ETKmIUbfHqlt56OiF_eMX-VSrAXx-7TOJVKPe8vghLAsYvqwwdFqStbXAHzHbHA&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQLq23xEQFngibh9my8ZAn5Sj2mfjgMn1zn4CzTWikqzpg&oe=6A98F799","",""
"ready","9016339138445993","Lethal Ape 2","lethal-ape-2","4.9","11701","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/491823271_26892625577022899_6131121947616185012_n.webp?stp=dst-webp_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=cumnlgUL5_AQ7kNvwEgOWMq&_nc_oc=AdpRCF6mrvuL2qybecqGyaktODEhg79cf1io769FG5TvCJJiox3ewll5yCwPUSvCv9E&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQKA_yuVhZ4KHFiqBQEs5NI9rvnvEq3IO9xZVKQZlhzN0Q&oe=6A98F5D0","",""
"ready","5635852399856124","Monkey Doo","monkey-doo","4.6","10915","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499618093_1770944874286560_1454802441163817879_n.webp?stp=dst-webp_s720x720&_nc_cat=107&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=maa60RUBH34Q7kNvwFTU2No&_nc_oc=Adq-OW8qMHJe3H6Fcfu6U8_EMPK0EdmMA-q94ufP5FjDo-wcGTQ_Jd3aNeH9IxFbX_E&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQK-CAX2WaEg5Ug8deN58khT9zBqTTxs9szyzcjwT57nZA&oe=6A9922FB","",""
"ready","7777321829011683","ChicKing Dead","chicking-dead","4.8","10651","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499620940_1040456128556324_6808974684749398608_n.webp?stp=dst-webp_s720x720&_nc_cat=107&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=pf3DaWrXGYAQ7kNvwHuO-x4&_nc_oc=AdrbeIAIgaxXXsxI92aVNpu6jsNWd6fPvtvJTEY4ZPOcGXF929759E7kuRKwdhmLHJY&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJr7jzbKYoyTCJh-RJrbzCXL9JpmvkQuoJGk4eV0QU5ug&oe=6A98FD6E","",""
